Reference Handle,Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Seven Bends,New Quantity Seven Bends,Stock Alert Enabled Seven Bends,Stock Alert Count Seven Bends,Tax - Sales Tax (6%)
#ilex-verticillata-winterberry--3-gallon-male,V4T2OZQGZ4YTZHBD4QWMP2K2,Ilex verticillata (Winterberry),,3 Gallon Male,,Ilever20,,"Shrub, Shrub_MF",Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#ilex-verticillata-winterberry--5-gallon,URE6LGQVFMK4L7IDLXTPXE2D,Ilex verticillata (Winterberry),,5 Gallon,,Ilever21,,"Shrub, Shrub_MF",Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,7,,,,Y
#ilex-verticillata-winterberry--5-gallon-female,BVS3T2VWBCXQOXOI4RY6KR2K,Ilex verticillata (Winterberry),,5 Gallon Female,,Ilever22,,"Shrub, Shrub_MF",Shrub,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#ilex-verticillata-winterberry--5-gallon-male,RGJCOLBICJ5WIEEPO4X5XLYC,Ilex verticillata (Winterberry),,5 Gallon Male,,Ilever23,,"Shrub, Shrub_MF",Shrub,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,6,,,,Y
#impatiens-capensis-jewelweed--4-5-pot,VHHK2T5A5SUWD7XOBFVKLP66,Impatiens capensis (Jewelweed),,"4.5"" Pot",,Impcap3,"These annuals can spread well through self seeding. Bright orange flowers attract hummingbirds and butterflies when they bloom through the summer. Great for boggy areas and rain gardens.

Size: Height: 2' - 5' ; Width: 1' -3'
Light: Shade (Part-Full)
Moisture: Moist, Standing Water,

-

Fritzflohrreynolds, CC BY-SA 3.0 , via Wikimedia Commons,  sonnia hill, CC BY 2.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,6.00,,N,,,,,,,22,,,,Y
#impatiens-capensis-jewelweed--gallon,2DEU6NM2ZGL7I4VIZVVJHTVQ,Impatiens capensis (Jewelweed),,Gallon,,Impcap9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,13.00,,N,,,,,,,0,,,,Y
#impatiens-capensis-jewelweed--true-gallon,5IMUBU2ZRJ7JJQ3KGOW6QCFM,Impatiens capensis (Jewelweed),,True Gallon,,Impcap12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,,,,0,,,,Y
#iris-cristata-dwarf-crested-iris--4-5-pot,UYOCBLOKRFTHNVZ5NBO7OS4T,Iris cristata (Dwarf Crested Iris),,"4.5"" Pot",,Iricri3,"Low growing, rapidly spreading perennial. Blooms in spring. Produce pale blue lilac flowers with three parallel golden crested ridges on sepals. Narrow sword-shaped yellowish-green leaves and short stalks.

Size: Height: 0.5' - 0.75' ; Width: 0.5' -1'
Light: Sun (Part-Full)
Moisture: Medium,

-

Ryan Somma, CC BY 2.0 , via Wikimedia Commons
Drew Avery, CC BY 2.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,N,,N,,,188,,,,Y
#iris-cristata-dwarf-crested-iris--gallon,NTA3CM7R6KGLJM32DCHH7IVY,Iris cristata (Dwarf Crested Iris),,Gallon,,Iricri9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
#iris-cristata-dwarf-crested-iris--true-gallon,VUACK5TYU23FEPFM4LJ46DF7,Iris cristata (Dwarf Crested Iris),,True Gallon,,Iricri12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
#iris-versicolor-blue-flag--4-5-pot,5ODU6OWGWUCSSXPA6AZAWKI3,Iris versicolor (Blue Flag),,"4.5"" Pot",,Iriver3,"Native iris with charismatic, purple flowers.

Size: Height: 2' - 3' ; Width: 2' -2.5'
Light: Sun (Part-Full)
Moisture: Moist, Standing Water,

-

No machine-readable author provided. Dlanglois assumed (based on copyright claims)., CC BY-SA 3.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,,,N,,,0,,,,Y
#iris-versicolor-blue-flag--gallon,PFZHVQQ6JSBQFPUWRRY7LCJ6,Iris versicolor (Blue Flag),,Gallon,,Iriver9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,86,,,,Y
#iris-versicolor-blue-flag--true-gallon,7CSIHJETV3G3TOHVDP4VVD2A,Iris versicolor (Blue Flag),,True Gallon,,Iriver12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,9,,,,Y
#itea-virginica-sweetspire--gallon,QBXP4ERLJRSCN4SK4QPEWHVG,Itea virginica (Sweetspire),,Gallon,,Itevir9,"An upright, rounded shrub with tiny white flowers in drooping cylinders in early spring. Prefers wet soils and can form colonies through suckering. Adaptable to shade and wet locations.

Size: Height: 3' - 4' ; Width: 4' -6'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons, Famartin, CC BY-SA 4.0 , via Wikimedia Commons
I, SB Johnny, CC BY-SA 3.0 , via Wikimedia Commons",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
#itea-virginica-sweetspire--true-gallon,LG5XH6MDWGF6R2SIJJLP6DON,Itea virginica (Sweetspire),,True Gallon,,Itevir12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,25,,,,Y
#itea-virginica-sweetspire--2-gallon,OUUHBL2CI7CVLVWGDOPOZ3NR,Itea virginica (Sweetspire),,2 Gallon,,Itevir15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,,,4,,,,Y
#itea-virginica-sweetspire--3-gallon,HZD347HOULTGKUJ2NAY53OSL,Itea virginica (Sweetspire),,3 Gallon,,Itevir18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
#itea-virginica-sweetspire--5-gallon,6CI4LPCS7BDQBBD3FJVYPNIO,Itea virginica (Sweetspire),,5 Gallon,,Itevir21,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
#juglans-nigra-black-walnut--gallon,DHHAU2H25ASILP6PJAFZGXJM,Juglans nigra (Black Walnut),,Gallon,,Jugnig9,"Long trunks with sharply ridged, dark bark. Leaves emerge in spring and drop in fall, and are aromatic when crushed. Nuts mature in autumn, falling to the grown where the husks rot away.

Size: Height: 75' - 100' ; Width: 75' -100'
Light: Sun (Full)
Moisture: Medium, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

NinjaRobotPirate, CC BY 4.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
#juglans-nigra-black-walnut--true-gallon,CK3YYP774YMTE23FXET2MLT7,Juglans nigra (Black Walnut),,True Gallon,,Jugnig12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#juglans-nigra-black-walnut--2-gallon,W7DT3D4CCHUMLJOEX4QXYGNO,Juglans nigra (Black Walnut),,2 Gallon,,Jugnig15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,2,,,,Y
#juglans-nigra-black-walnut--3-gallon,3LW2PVWUKA7TQZMIW6TFOB4X,Juglans nigra (Black Walnut),,3 Gallon,,Jugnig18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#juglans-nigra-black-walnut--5-gallon,OMYRU6VJQ2E4V44XYOXNCXWG,Juglans nigra (Black Walnut),,5 Gallon,,Jugnig21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#juniperus-virginiana-eastern-red-cedar--gallon,NMZXEK44UHT34ZN3HGOVABK2,Juniperus virginiana (Eastern Red Cedar),,Gallon,,Junvir9,"Tough tree that is tolerant of a wide variety of soils and growing conditions. Can grow in soils that few other plants can tolerate.  Most drought resistant of any conifer in eastern United States. Beautiful blue-green, overlapping, scale-like leaves.  Red-brown bark that peels off in long, narrow strips.  Light blue-green clusters of cones mature in late winter or early spring. 

Size: Height: 30' - 40' ; Width: 10' -20'
Light: Sun (Full)
Moisture: Very Dry, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Nicholas A. Tonelli from Northeast Pennsylvania, USA, CC BY 2.0 , via Wikimedia Commons, Photo (c)2007 Derek Ramsey (Ram-Man), GFDL 1.2 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
#juniperus-virginiana-eastern-red-cedar--true-gallon,DEJBH2JBT3IZDYMNVIOZFFXD,Juniperus virginiana (Eastern Red Cedar),,True Gallon,,Junvir12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,8,,,,Y
#juniperus-virginiana-eastern-red-cedar--2-gallon,JEKDTV3U5VLE4I5IYC27P5WL,Juniperus virginiana (Eastern Red Cedar),,2 Gallon,,Junvir15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,4,,,,Y
#juniperus-virginiana-eastern-red-cedar--3-gallon,5MD5QFWQKJ26AA7IVGZVNXZN,Juniperus virginiana (Eastern Red Cedar),,3 Gallon,,Junvir18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#juniperus-virginiana-eastern-red-cedar--5-gallon,YY2L4OKRKGJCCJRYBYYKMYXF,Juniperus virginiana (Eastern Red Cedar),,5 Gallon,,Junvir21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#kalmia-angustifolia-sheep-laurel--gallon,ZLXU2NRMUZG3ISN4PIPEQGYY,Kalmia angustifolia (Sheep Laurel),,Gallon,,Kalang9,"Evergreen shrub with groups of round, pink flowers in summer. Can spread to form colonies. Does well at bog or water edges. Host for the Brown Elfin butterfly.

Size: Height: 1' - 3' ; Width: 4' -6'
Light: Shade (Part-Full)
Moisture: Medium,

-

Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons
Ryan Hodnett, CC BY-SA 4.0 , via Wikimedia Commons",Shrub,Shrub,,,,,hidden,Physical good,,,,N,N,N,Y,25.00,,N,,,,,,,0,,,,Y
#kalmia-angustifolia-sheep-laurel--true-gallon,DWVFEPVF7YMGDU2MBDHBEWI2,Kalmia angustifolia (Sheep Laurel),,True Gallon,,Kalang12,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,30.00,,N,,,,,,,0,,,,Y
#kalmia-angustifolia-sheep-laurel--2-gallon,PP4PZCR525KEPKKEDKWAWOOX,Kalmia angustifolia (Sheep Laurel),,2 Gallon,,Kalang15,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#kalmia-angustifolia-sheep-laurel--3-gallon,7YHZIKONCWTYKUGWGSKR3V7H,Kalmia angustifolia (Sheep Laurel),,3 Gallon,,Kalang18,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#kalmia-angustifolia-sheep-laurel--5-gallon,NCZ3PL6NQ4C37GPEOTY5HJMP,Kalmia angustifolia (Sheep Laurel),,5 Gallon,,Kalang21,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#kalmia-latifolia-mountain-laurel--gallon,BCV3U7TOZ6ZJN6SMB2W37XZU,Kalmia latifolia (Mountain Laurel),,Gallon,,Kallat9,"Broadleaf evergreen shrub with late-spring 1"" cup-shaped rose-to-purple flowers. Brown fruits emerge and last through the winter. Showy blooms make this an excellent focal point in a yard. Avoid clays.

Size: Height: 5' - 15' ; Width: 5' -15'
Light: Shade (Part-Full)
Moisture: Medium,

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

A. Barra, CC BY 3.0 , via Wikimedia Commons,  HLWolfe, CC0, via Wikimedia Commons
Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons",Shrub,Shrub,,,,,hidden,Physical good,,,,N,N,N,Y,25.00,,N,,,,,,,0,,,,Y
#kalmia-latifolia-mountain-laurel--true-gallon,GX4DX7FWIZXHB5GFNSX7QUWF,Kalmia latifolia (Mountain Laurel),,True Gallon,,Kallat12,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,30.00,,N,,,,,,,0,,,,Y
#kalmia-latifolia-mountain-laurel--2-gallon,DJWYOXLC622BUZXCJ2EMO3VR,Kalmia latifolia (Mountain Laurel),,2 Gallon,,Kallat15,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#kalmia-latifolia-mountain-laurel--3-gallon,IZCFETLLL2HKTX46E3TT4RWN,Kalmia latifolia (Mountain Laurel),,3 Gallon,,Kallat18,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#kalmia-latifolia-mountain-laurel--5-gallon,2BDYLBLAZWJFNP2S5QRGORAN,Kalmia latifolia (Mountain Laurel),,5 Gallon,,Kallat21,,Shrub,Shrub,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#kosteletzkya-virginica-virginia-saltmarsh-mallow--4-5-pot,ULRB5BPMJCLDRXHZM6ZXDOEY,Kosteletzkya virginica (Virginia Saltmarsh Mallow),,"4.5"" Pot",,Kosvir3,"Small pink flowers in summer attract butterflies. This plant does well around water edges and in well-irrigated soil.

Size: Height: 3' - 4' ; Width: 2' -3'
Light: Sun (Full)
Moisture: Moist, Standing Water,

-

peganum from Henfield, England, CC BY-SA 2.0 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,,,,,,0,,,,Y
#kosteletzkya-virginica-virginia-saltmarsh-mallow--gallon,IFAUKYC437NGEAV2R36ZHFXU,Kosteletzkya virginica (Virginia Saltmarsh Mallow),,Gallon,,Kosvir9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#kosteletzkya-virginica-virginia-saltmarsh-mallow--true-gallon,DEFITXL6HEQGFONWB6GZYU6H,Kosteletzkya virginica (Virginia Saltmarsh Mallow),,True Gallon,,Kosvir12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#lemp-retainer-service,PISQ6OEODX6KJZIKW6RJCL36,LEMP Retainer,,Service,,LemRet99,"Size:
Light:
Moisture:

-",,,,,,,hidden,Other,,,,N,,N,N,3000.00,,N,,,,,,,0,,,,N
#lemp-services-service,JXDDECFBB345S4BL43CF677K,LEMP Services,,Service,,LemSer99,"Size:
Light:
Moisture:

-",,,,,,,hidden,Other,,,,N,,N,N,150.00,,N,,,,,,,0,,,,N
#liatris-scariosa-eastern-blazing-star--4-5-pot,PD2TW57JQ7X745TBDANRKIPQ,Liatris scariosa (Eastern Blazing Star),,"4.5"" Pot",,Liasca3,"Tall perennial that likes moist soils. Spikes of deep purple flower clusters bloom in late summer and attract birds and butterflies to feed. Clay and Drought Tolerant.

Size: Height: 2' - 4' ; Width: 1' -2'
Light: Sun (Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,,,,,,0,,,,Y
#liatris-scariosa-eastern-blazing-star--gallon,IKFK7C53FJ2UT6I4MKILLAUC,Liatris scariosa (Eastern Blazing Star),,Gallon,,Liasca9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#liatris-scariosa-eastern-blazing-star--true-gallon,IQYDWRX42JOVQHJ2X7S4OSTX,Liatris scariosa (Eastern Blazing Star),,True Gallon,,Liasca12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#liatris-scariosa-var-nieuwlandii-northern-blazing-star--4-5-pot,X5U5VCU65YXEPA7HMNTID7UL,Liatris scariosa var. nieuwlandii (Northern Blazing Star),,"4.5"" Pot",,LiascV3,"Purple, 1"" flowers grow in columned bunches attract bees and butterflies in late summer. Loves sandy, rocky soils.

Size: Height: 2' - 5' ; Width: 1' -2'
Light: Sun (Full)
Moisture: Dry, Medium, 

-

Andrew C, CC BY 2.0 , via Wikimedia Commons; 
Ephramac, CC BY-SA 4.0 , via Wikimedia Commons; 
Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,,,,,,0,,,,Y
#liatris-scariosa-var-nieuwlandii-northern-blazing-star--gallon,VGB7IZZLZKYNTIGRSAADYAOA,Liatris scariosa var. nieuwlandii (Northern Blazing Star),,Gallon,,LiascV9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#liatris-scariosa-var-nieuwlandii-northern-blazing-star--true-gallon,BYDNW6TFHDMCJS3YQANR7UCV,Liatris scariosa var. nieuwlandii (Northern Blazing Star),,True Gallon,,LiascV12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#liatris-spicata-blazing-star--4-5-pot,TR6ZM6ZPEECENH3MW2XEKFCF,Liatris spicata (Blazing Star),,"4.5"" Pot",,Liaspi3,"Tall perennial that likes moist soils. Spikes of deep purple flower clusters bloom in late summer and attract birds and butterflies to feed. Clay and Drought Tolerant.

Size: Height: 2' - 4' ; Width: 1.5' -1.5'
Light: Sun (Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,N,,,,,102,,,,Y
#liatris-spicata-blazing-star--gallon,WI2SDAGONFB626DOGBVN3QT7,Liatris spicata (Blazing Star),,Gallon,,Liaspi9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#liatris-spicata-blazing-star--true-gallon,CGGBWKTRDPFXJZWHSSCFEGRA,Liatris spicata (Blazing Star),,True Gallon,,Liaspi12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#lilium-superbum-turk-s-cap-lily--4-5-pot,ZB6ZLKYFQI6OT3VOJVCDL4FI,Lilium superbum (Turk's Cap Lily),,"4.5"" Pot",,Lilsup3,"This tall lily is noted for the spectacular, orange flowers that bloom in mid-summer, attracting butterflies.

Size: Height: 4' - 7' ; Width: 0.5' -1'
Light: Shade (Full)
Moisture: Moist,

-

By Uleli - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15859116
By Plantlady - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=27510605",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,15.00,,N,,,,,,,0,,,,Y
#lilium-superbum-turk-s-cap-lily--gallon,BULKK2RKK6XIM3TE4RJYW45Z,Lilium superbum (Turk's Cap Lily),,Gallon,,Lilsup9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
#lilium-superbum-turk-s-cap-lily--true-gallon,OV4HB4IIFSFGLMH5FGPGEXJH,Lilium superbum (Turk's Cap Lily),,True Gallon,,Lilsup12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,23.00,,N,,,,,,,0,,,,Y
#lindera-benzoin-spicebush--gallon,AC2OGFOZH4GNEXEQXVMV65KA,Lindera benzoin (Spicebush),,Gallon,,Linben9,"Groups of greenish flowers bloom in spring. Needs male and female plants to pollinate berries. Spicebush swallowtail larvae feed on the leaves of this shrub. Clay and drought tolerant.

Size: Height: 6' - 12' ; Width: 6' -12'
Light: Shade (Part-Full)
Moisture: Dry, Medium, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

R. A. Nonenmacher, CC BY-SA 4.0 , via Wikimedia Commons",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,N,,,0,,,,Y
#lindera-benzoin-spicebush--true-gallon,BS67UQLHFSIBPHCE7W5JFXIM,Lindera benzoin (Spicebush),,True Gallon,,Linben12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,19,,,,Y
#lindera-benzoin-spicebush--2-gallon,KYIHTL2HMU5YZSMXWXQNFFRZ,Lindera benzoin (Spicebush),,2 Gallon,,Linben15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,,,0,,,,Y
#lindera-benzoin-spicebush--3-gallon,GWSKBRKD3I52DKIK6TNVUHXQ,Lindera benzoin (Spicebush),,3 Gallon,,Linben18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
#lindera-benzoin-spicebush--5-gallon,YSTQ5F54RNXUATOMEV7WONHT,Lindera benzoin (Spicebush),,5 Gallon,,Linben21,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
#liquidambar-styraciflua-sweet-gum--gallon,N6KUKONJ2VJJLFGP33PZWWGI,Liquidambar styraciflua (Sweet Gum),,Gallon,,Liqsty9,"Deciduous tree with red, purple, and yellow-orange leaves in Fall. Produces edible fruits which mature in Fall and Winter. Supports various moth species and birds. Tolerates clay.

Size: Height: 60' - 100' ; Width: 40' -60'
Light: Sun (Part-Full)
Moisture: Medium, Moist,

-

Luis Fernandez Garcia CC-BY-SA 4.0, https://commons.wikimedia.org/wiki/File:Liquidambar_styraciflua_20131017a.jpg",,,,,,,hidden,Physical good,,,,N,,N,Y,22.00,,N,,,,,,,0,,,,Y
#liquidambar-styraciflua-sweet-gum--true-gallon,7AQ7QKXT4JA27SKDSELL4GK7,Liquidambar styraciflua (Sweet Gum),,True Gallon,,Liqsty12,,,,,,,,hidden,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#liquidambar-styraciflua-sweet-gum--2-gallon,MRIT2G6U7STUWJBV7EJZYUEN,Liquidambar styraciflua (Sweet Gum),,2 Gallon,,Liqsty15,,,,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#liquidambar-styraciflua-sweet-gum--3-gallon,Q3FTM6JGKHAMBNYYJNWXPE2P,Liquidambar styraciflua (Sweet Gum),,3 Gallon,,Liqsty18,,,,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#liquidambar-styraciflua-sweet-gum--5-gallon,CYZ5Y6O34WH5PEA3OXGJX333,Liquidambar styraciflua (Sweet Gum),,5 Gallon,,Liqsty21,,,,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#liriodendron-tulipifera-tulip-tree--gallon,D7B6JTFFNDBBN3OM4DDUHVSS,Liriodendron tulipifera (Tulip Tree),,Gallon,,Lirtul9,"One of the largest trees in North America.  Mature trunks reach 4 to 6 feet in diameter and are column-like with an absence of lower branches.   Yellow-green and orange tulip-like flowers bloom in Spring. Yellow-gold leaves in fall.

Size: Height: 80' - 120' ; Width: 30' -60'
Light: Sun (Full)
Moisture: Medium, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Alex Lomas, CC BY 2.0 , via Wikimedia Commons, High Contrast, CC BY 3.0 DE , via Wikimedia Commons, Shenandoah  National Park from Virginia, Public domain, via Wikimedia Commons, Katja Schulz from Washington, D. C., USA, CC BY 2.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
#liriodendron-tulipifera-tulip-tree--true-gallon,V5KEIUWZ53LSAKZVZKF4FO2H,Liriodendron tulipifera (Tulip Tree),,True Gallon,,Lirtul12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#liriodendron-tulipifera-tulip-tree--2-gallon,UYUJV2HA5ZVN4JWWUFU7HU7I,Liriodendron tulipifera (Tulip Tree),,2 Gallon,,Lirtul15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#liriodendron-tulipifera-tulip-tree--3-gallon,EYLINQ3GM6VJGCGQGNBPVRPM,Liriodendron tulipifera (Tulip Tree),,3 Gallon,,Lirtul18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#liriodendron-tulipifera-tulip-tree--5-gallon,MSBKJSWWZ3FOCSSZRDY45ICT,Liriodendron tulipifera (Tulip Tree),,5 Gallon,,Lirtul21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,0,,,,Y
#lobelia-cardinalis-cardinal-flower--4-5-pot,5DFQ5DEZWV7YVT3LLS3LRBTB,Lobelia cardinalis (Cardinal Flower),,"4.5"" Pot",,Lobcar3,"This native, red flower is a favorite of hummingbirds and makes an excellent cut flower as well!

Size: Height: 1' - 4' ; Width: 1' -2'
Light: Sun (Part-Full)
Moisture: Medium, Moist,

-

Barnes, Dr. Thomas G., Public domain, via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,9.00,,N,,N,,N,,,170,,,,Y
#lobelia-cardinalis-cardinal-flower--gallon,XSNQRWY7IHTFNVRCHXFWVVS7,Lobelia cardinalis (Cardinal Flower),,Gallon,,Lobcar9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,0,,,,Y
#lobelia-cardinalis-cardinal-flower--true-gallon,KISX5TV6PLSVCBE2KVNQYK2K,Lobelia cardinalis (Cardinal Flower),,True Gallon,,Lobcar12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
